dataset,acc1,acc2,acc3,acc4,acc5,mean_acc
Wine_jitter,0.5,0.8333333333333334,0.5,0.6851851851851852,0.6481481481481481,0.6333333333333334
Wine_scaling,0.8333333333333334,0.7592592592592593,0.5555555555555556,0.9074074074074074,0.7592592592592593,0.762962962962963
Wine_window_slice,0.5555555555555556,0.5,0.5555555555555556,0.5,0.5,0.5222222222222223
Wine_window_warp,0.6666666666666666,0.6111111111111112,0.5925925925925926,0.5555555555555556,0.5925925925925926,0.6037037037037036
Wine_time_warp,0.5,0.5,0.5,0.5,0.5,0.5
Wine_rotation,0.8518518518518519,0.8703703703703703,0.8333333333333334,0.8703703703703703,0.8148148148148148,0.8481481481481481
Wine_magnitude_warp,0.7962962962962963,0.7592592592592593,0.7037037037037037,0.6481481481481481,0.5555555555555556,0.6925925925925925
Wine_spawner,0.5,0.5,0.5,0.5,0.5,0.5
Wine_wdba,0.7222222222222222,0.8703703703703703,0.7962962962962963,0.6481481481481481,0.6851851851851852,0.7444444444444445
BeetleFly_jitter,0.85,0.75,0.85,0.85,0.85,0.8300000000000001
BeetleFly_scaling,0.7,0.8,0.85,0.85,0.75,0.79
BeetleFly_window_slice,0.95,0.9,0.95,0.95,0.85,0.92
BeetleFly_window_warp,0.85,0.75,0.8,0.75,0.8,0.79
BeetleFly_time_warp,0.6,0.6,0.65,0.65,0.65,0.63
BeetleFly_rotation,0.9,0.85,0.9,0.9,0.9,0.89
BeetleFly_magnitude_warp,0.85,0.8,0.85,0.9,0.8,0.8400000000000001
BeetleFly_spawner,0.65,0.7,0.8,0.65,0.6,0.68
BeetleFly_wdba,0.85,0.75,0.75,0.8,0.7,0.7700000000000001
ArrowHead_jitter,0.8457142857142858,0.8457142857142858,0.8285714285714286,0.8228571428571428,0.8228571428571428,0.8331428571428571
ArrowHead_scaling,0.8285714285714286,0.8285714285714286,0.84,0.8228571428571428,0.8285714285714286,0.8297142857142857
ArrowHead_window_slice,0.7828571428571428,0.76,0.7771428571428571,0.7771428571428571,0.7428571428571429,0.768
ArrowHead_window_warp,0.8514285714285714,0.84,0.8457142857142858,0.8685714285714285,0.84,0.8491428571428571
ArrowHead_time_warp,0.5771428571428572,0.4914285714285714,0.4971428571428571,0.4857142857142857,0.48,0.5062857142857142
ArrowHead_rotation,0.7828571428571428,0.8114285714285714,0.8057142857142857,0.8,0.84,0.808
ArrowHead_magnitude_warp,0.8457142857142858,0.8342857142857143,0.8342857142857143,0.8228571428571428,0.8285714285714286,0.8331428571428571
ArrowHead_spawner,0.7085714285714285,0.4628571428571428,0.3942857142857143,0.4285714285714285,0.56,0.5108571428571429
ArrowHead_wdba,0.64,0.72,0.6971428571428572,0.6857142857142857,0.72,0.6925714285714285
OliveOil_jitter,0.3333333333333333,0.4666666666666667,0.3,0.3,0.3,0.34
OliveOil_scaling,0.5666666666666667,0.7666666666666667,0.8,0.8,0.8333333333333334,0.7533333333333334
OliveOil_window_slice,0.4,0.4,0.4,0.4,0.4,0.4
OliveOil_window_warp,0.3333333333333333,0.7333333333333333,0.6333333333333333,0.3333333333333333,0.3,0.4666666666666666
OliveOil_time_warp,0.1333333333333333,0.1333333333333333,0.3333333333333333,0.1333333333333333,0.1333333333333333,0.1733333333333333
OliveOil_rotation,0.4666666666666667,0.6,0.6,0.5333333333333333,0.6666666666666666,0.5733333333333333
OliveOil_magnitude_warp,0.4333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.4866666666666666
OliveOil_spawner,0.3,0.3,0.4,0.3,0.3,0.32
OliveOil_wdba,0.8333333333333334,0.7666666666666667,0.6333333333333333,0.7666666666666667,0.7,0.74
Beef_jitter,0.7333333333333333,0.8333333333333334,0.4666666666666667,0.3666666666666666,0.7666666666666667,0.6333333333333333
Beef_scaling,0.8666666666666667,0.7333333333333333,0.8333333333333334,0.8,0.7666666666666667,0.8
Beef_window_slice,0.5333333333333333,0.4333333333333333,0.4,0.5,0.5333333333333333,0.48
Beef_window_warp,0.6333333333333333,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.6333333333333333,0.7
Beef_time_warp,0.4333333333333333,0.3666666666666666,0.4,0.3666666666666666,0.3333333333333333,0.38
Beef_rotation,0.7666666666666667,0.8,0.8,0.7,0.7666666666666667,0.7666666666666668
Beef_magnitude_warp,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6,0.6,0.6333333333333333
Beef_spawner,0.6,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.5866666666666667
Beef_wdba,0.3,0.3333333333333333,0.3,0.2666666666666666,0.3333333333333333,0.3066666666666666
Lightning7_jitter,0.7945205479452054,0.8493150684931506,0.7945205479452054,0.7945205479452054,0.8082191780821918,0.8082191780821917
Lightning7_scaling,0.8082191780821918,0.8082191780821918,0.7945205479452054,0.8356164383561644,0.8082191780821918,0.810958904109589
Lightning7_window_slice,0.6986301369863014,0.726027397260274,0.7123287671232876,0.7397260273972602,0.7534246575342466,0.7260273972602739
Lightning7_window_warp,0.7534246575342466,0.7671232876712328,0.7808219178082192,0.7808219178082192,0.7945205479452054,0.7753424657534247
Lightning7_time_warp,0.684931506849315,0.7123287671232876,0.7123287671232876,0.726027397260274,0.6986301369863014,0.706849315068493
Lightning7_rotation,0.7945205479452054,0.7945205479452054,0.7671232876712328,0.7534246575342466,0.7671232876712328,0.7753424657534246
Lightning7_magnitude_warp,0.8356164383561644,0.8082191780821918,0.7945205479452054,0.821917808219178,0.821917808219178,0.8164383561643834
Lightning7_spawner,0.5753424657534246,0.6164383561643836,0.5753424657534246,0.684931506849315,0.6164383561643836,0.6136986301369862
Lightning7_wdba,0.7671232876712328,0.7534246575342466,0.7945205479452054,0.8082191780821918,0.8082191780821918,0.7863013698630137
Lightning2_jitter,0.8032786885245902,0.7704918032786885,0.8032786885245902,0.819672131147541,0.819672131147541,0.8032786885245902
Lightning2_scaling,0.8360655737704918,0.8032786885245902,0.7868852459016393,0.8032786885245902,0.819672131147541,0.8098360655737704
Lightning2_window_slice,0.8524590163934426,0.8524590163934426,0.7540983606557377,0.8032786885245902,0.7868852459016393,0.8098360655737704
Lightning2_window_warp,0.8524590163934426,0.8688524590163934,0.8524590163934426,0.8360655737704918,0.8524590163934426,0.8524590163934427
Lightning2_time_warp,0.7704918032786885,0.7868852459016393,0.7704918032786885,0.7704918032786885,0.7868852459016393,0.7770491803278687
Lightning2_rotation,0.8032786885245902,0.8360655737704918,0.8032786885245902,0.8524590163934426,0.7704918032786885,0.8131147540983606
Lightning2_magnitude_warp,0.819672131147541,0.8032786885245902,0.819672131147541,0.7868852459016393,0.7868852459016393,0.8032786885245902
Lightning2_spawner,0.6885245901639344,0.7213114754098361,0.6721311475409836,0.6557377049180327,0.6557377049180327,0.6786885245901638
Lightning2_wdba,0.7868852459016393,0.7540983606557377,0.7868852459016393,0.7704918032786885,0.7704918032786885,0.7737704918032786
DistalPhalanxOutlineAgeGroup_jitter,0.762589928057554,0.7769784172661871,0.7482014388489209,0.7841726618705036,0.7841726618705036,0.7712230215827338
DistalPhalanxOutlineAgeGroup_scaling,0.7050359712230215,0.7553956834532374,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7395683453237408
DistalPhalanxOutlineAgeGroup_window_slice,0.7122302158273381,0.7122302158273381,0.7122302158273381,0.7266187050359713,0.7050359712230215,0.7136690647482015
DistalPhalanxOutlineAgeGroup_window_warp,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7697841726618705,0.7482014388489209
DistalPhalanxOutlineAgeGroup_time_warp,0.6115107913669064,0.6187050359712231,0.6690647482014388,0.7266187050359713,0.6187050359712231,0.6489208633093525
DistalPhalanxOutlineAgeGroup_rotation,0.6834532374100719,0.6834532374100719,0.6618705035971223,0.7050359712230215,0.7050359712230215,0.6877697841726619
DistalPhalanxOutlineAgeGroup_magnitude_warp,0.6834532374100719,0.697841726618705,0.7122302158273381,0.7050359712230215,0.7194244604316546,0.7035971223021582
DistalPhalanxOutlineAgeGroup_spawner,0.7410071942446043,0.7122302158273381,0.7482014388489209,0.7266187050359713,0.7553956834532374,0.7366906474820143
DistalPhalanxOutlineAgeGroup_wdba,0.7553956834532374,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7553956834532374,0.7482014388489209
DistalPhalanxTW_jitter,0.6834532374100719,0.6546762589928058,0.6546762589928058,0.6402877697841727,0.6762589928057554,0.6618705035971223
DistalPhalanxTW_scaling,0.6690647482014388,0.6906474820143885,0.697841726618705,0.6762589928057554,0.7194244604316546,0.6906474820143884
DistalPhalanxTW_window_slice,0.7122302158273381,0.7122302158273381,0.6546762589928058,0.6690647482014388,0.7194244604316546,0.6935251798561151
DistalPhalanxTW_window_warp,0.6330935251798561,0.6834532374100719,0.6762589928057554,0.6330935251798561,0.6834532374100719,0.6618705035971223
DistalPhalanxTW_time_warp,0.5899280575539568,0.5683453237410072,0.5683453237410072,0.5971223021582733,0.5467625899280576,0.5741007194244604
DistalPhalanxTW_rotation,0.6762589928057554,0.6690647482014388,0.6474820143884892,0.6690647482014388,0.6546762589928058,0.6633093525179856
DistalPhalanxTW_magnitude_warp,0.697841726618705,0.6402877697841727,0.697841726618705,0.6834532374100719,0.6834532374100719,0.6805755395683454
DistalPhalanxTW_spawner,0.5827338129496403,0.6258992805755396,0.5971223021582733,0.6258992805755396,0.6258992805755396,0.6115107913669064
DistalPhalanxTW_wdba,0.5899280575539568,0.6115107913669064,0.6115107913669064,0.6187050359712231,0.60431654676259,0.6071942446043165
Herring_jitter,0.625,0.625,0.53125,0.609375,0.625,0.603125
Herring_scaling,0.65625,0.671875,0.6875,0.640625,0.65625,0.6625
Herring_window_slice,0.53125,0.53125,0.625,0.625,0.609375,0.584375
Herring_window_warp,0.65625,0.71875,0.65625,0.65625,0.609375,0.659375
Herring_time_warp,0.578125,0.59375,0.609375,0.609375,0.609375,0.6
Herring_rotation,0.546875,0.5625,0.578125,0.59375,0.59375,0.575
Herring_magnitude_warp,0.65625,0.609375,0.703125,0.5625,0.609375,0.628125
Herring_spawner,0.515625,0.40625,0.40625,0.40625,0.484375,0.44375
Herring_wdba,0.609375,0.5625,0.578125,0.546875,0.59375,0.578125
ProximalPhalanxTW_jitter,0.7853658536585366,0.7609756097560976,0.775609756097561,0.7707317073170732,0.7609756097560976,0.7707317073170732
ProximalPhalanxTW_scaling,0.7170731707317073,0.7658536585365854,0.7707317073170732,0.775609756097561,0.7609756097560976,0.7580487804878049
ProximalPhalanxTW_window_slice,0.6048780487804878,0.6439024390243903,0.6390243902439025,0.7268292682926829,0.6,0.6429268292682926
ProximalPhalanxTW_window_warp,0.7073170731707317,0.6731707317073171,0.6780487804878049,0.697560975609756,0.6878048780487804,0.688780487804878
ProximalPhalanxTW_time_warp,0.6878048780487804,0.6341463414634146,0.6536585365853659,0.5853658536585366,0.6146341463414634,0.6351219512195122
ProximalPhalanxTW_rotation,0.7609756097560976,0.7658536585365854,0.7902439024390244,0.7902439024390244,0.7902439024390244,0.7795121951219512
ProximalPhalanxTW_magnitude_warp,0.7853658536585366,0.7707317073170732,0.7951219512195122,0.8146341463414634,0.8195121951219512,0.7970731707317074
ProximalPhalanxTW_spawner,0.7463414634146341,0.7902439024390244,0.7073170731707317,0.751219512195122,0.7463414634146341,0.7482926829268293
ProximalPhalanxTW_wdba,0.697560975609756,0.6536585365853659,0.6878048780487804,0.6878048780487804,0.697560975609756,0.6848780487804877
MiddlePhalanxOutlineCorrect_jitter,0.8041237113402062,0.7972508591065293,0.8075601374570447,0.7800687285223368,0.7800687285223368,0.7938144329896908
MiddlePhalanxOutlineCorrect_scaling,0.8041237113402062,0.8178694158075601,0.8041237113402062,0.8109965635738832,0.8006872852233677,0.8075601374570447
MiddlePhalanxOutlineCorrect_window_slice,0.6701030927835051,0.6804123711340206,0.6391752577319587,0.6323024054982818,0.6529209621993127,0.6549828178694158
MiddlePhalanxOutlineCorrect_window_warp,0.7422680412371134,0.7938144329896907,0.7560137457044673,0.738831615120275,0.7869415807560137,0.763573883161512
MiddlePhalanxOutlineCorrect_time_warp,0.5292096219931272,0.4982817869415807,0.5154639175257731,0.570446735395189,0.5773195876288659,0.5381443298969071
MiddlePhalanxOutlineCorrect_rotation,0.7594501718213058,0.8144329896907216,0.7869415807560137,0.7835051546391752,0.7903780068728522,0.7869415807560137
MiddlePhalanxOutlineCorrect_magnitude_warp,0.7972508591065293,0.8006872852233677,0.8144329896907216,0.8109965635738832,0.7835051546391752,0.8013745704467354
MiddlePhalanxOutlineCorrect_spawner,0.6907216494845361,0.6769759450171822,0.7319587628865979,0.7285223367697594,0.718213058419244,0.709278350515464
MiddlePhalanxOutlineCorrect_wdba,0.7285223367697594,0.7594501718213058,0.7697594501718213,0.7697594501718213,0.7491408934707904,0.7553264604810996
ProximalPhalanxOutlineCorrect_jitter,0.8762886597938144,0.8556701030927835,0.8900343642611683,0.8831615120274914,0.865979381443299,0.8742268041237115
ProximalPhalanxOutlineCorrect_scaling,0.9037800687285223,0.9243986254295532,0.9140893470790378,0.9140893470790378,0.9037800687285223,0.9120274914089348
ProximalPhalanxOutlineCorrect_window_slice,0.7903780068728522,0.8144329896907216,0.7766323024054983,0.738831615120275,0.7560137457044673,0.7752577319587629
ProximalPhalanxOutlineCorrect_window_warp,0.8591065292096219,0.8831615120274914,0.8213058419243986,0.8900343642611683,0.872852233676976,0.8652920962199312
ProximalPhalanxOutlineCorrect_time_warp,0.6872852233676976,0.6116838487972509,0.6872852233676976,0.6769759450171822,0.7044673539518901,0.6735395189003437
ProximalPhalanxOutlineCorrect_rotation,0.9175257731958762,0.8900343642611683,0.9140893470790378,0.9209621993127148,0.9106529209621992,0.9106529209621992
ProximalPhalanxOutlineCorrect_magnitude_warp,0.9037800687285223,0.9037800687285223,0.9037800687285223,0.8762886597938144,0.8900343642611683,0.89553264604811
ProximalPhalanxOutlineCorrect_spawner,0.7353951890034365,0.7697594501718213,0.7800687285223368,0.7353951890034365,0.7457044673539519,0.7532646048109966
ProximalPhalanxOutlineCorrect_wdba,0.8797250859106529,0.872852233676976,0.865979381443299,0.8694158075601375,0.8865979381443299,0.8749140893470791
ProximalPhalanxOutlineAgeGroup_jitter,0.8390243902439024,0.8292682926829268,0.8048780487804879,0.8292682926829268,0.848780487804878,0.8302439024390245
ProximalPhalanxOutlineAgeGroup_scaling,0.848780487804878,0.848780487804878,0.8439024390243902,0.848780487804878,0.8097560975609757,0.8400000000000001
ProximalPhalanxOutlineAgeGroup_window_slice,0.5365853658536586,0.6097560975609756,0.7024390243902439,0.5170731707317073,0.6390243902439025,0.6009756097560977
ProximalPhalanxOutlineAgeGroup_window_warp,0.8634146341463415,0.7707317073170732,0.848780487804878,0.8780487804878049,0.8536585365853658,0.8429268292682928
ProximalPhalanxOutlineAgeGroup_time_warp,0.8341463414634146,0.8536585365853658,0.8390243902439024,0.8341463414634146,0.8341463414634146,0.8390243902439025
ProximalPhalanxOutlineAgeGroup_rotation,0.8292682926829268,0.8390243902439024,0.8390243902439024,0.8292682926829268,0.8292682926829268,0.8331707317073171
ProximalPhalanxOutlineAgeGroup_magnitude_warp,0.8292682926829268,0.8341463414634146,0.8195121951219512,0.8341463414634146,0.824390243902439,0.8282926829268293
ProximalPhalanxOutlineAgeGroup_spawner,0.8341463414634146,0.8439024390243902,0.8390243902439024,0.8536585365853658,0.848780487804878,0.8439024390243903
ProximalPhalanxOutlineAgeGroup_wdba,0.8682926829268293,0.8585365853658536,0.8585365853658536,0.8682926829268293,0.8585365853658536,0.862439024390244
DistalPhalanxOutlineCorrect_jitter,0.7644927536231884,0.7246376811594203,0.7427536231884058,0.7210144927536232,0.7572463768115942,0.7420289855072464
DistalPhalanxOutlineCorrect_scaling,0.7391304347826086,0.7681159420289855,0.7862318840579711,0.7572463768115942,0.7536231884057971,0.7608695652173914
DistalPhalanxOutlineCorrect_window_slice,0.6992753623188406,0.6956521739130435,0.6956521739130435,0.5978260869565217,0.6268115942028986,0.6630434782608695
DistalPhalanxOutlineCorrect_window_warp,0.7753623188405797,0.7355072463768116,0.7717391304347826,0.7717391304347826,0.7572463768115942,0.7623188405797101
DistalPhalanxOutlineCorrect_time_warp,0.6992753623188406,0.7282608695652174,0.7608695652173914,0.7753623188405797,0.7318840579710145,0.7391304347826086
DistalPhalanxOutlineCorrect_rotation,0.7681159420289855,0.7789855072463768,0.7862318840579711,0.7753623188405797,0.7681159420289855,0.7753623188405797
DistalPhalanxOutlineCorrect_magnitude_warp,0.7355072463768116,0.7789855072463768,0.7681159420289855,0.7427536231884058,0.7717391304347826,0.7594202898550725
DistalPhalanxOutlineCorrect_spawner,0.6884057971014492,0.6811594202898551,0.6956521739130435,0.6884057971014492,0.7137681159420289,0.6934782608695651
DistalPhalanxOutlineCorrect_wdba,0.7536231884057971,0.7572463768115942,0.7608695652173914,0.7789855072463768,0.7608695652173914,0.7623188405797101
Ham_jitter,0.6952380952380952,0.7047619047619048,0.6857142857142857,0.6952380952380952,0.6571428571428571,0.6876190476190476
Ham_scaling,0.6761904761904762,0.6761904761904762,0.6476190476190476,0.6952380952380952,0.6857142857142857,0.6761904761904762
Ham_window_slice,0.7333333333333333,0.6952380952380952,0.7428571428571429,0.7238095238095238,0.7238095238095238,0.7238095238095238
Ham_window_warp,0.7714285714285715,0.7619047619047619,0.7428571428571429,0.8,0.780952380952381,0.7714285714285714
Ham_time_warp,0.5047619047619047,0.5238095238095238,0.5142857142857142,0.5619047619047619,0.5238095238095238,0.5257142857142856
Ham_rotation,0.7047619047619048,0.7333333333333333,0.6571428571428571,0.6952380952380952,0.7047619047619048,0.699047619047619
Ham_magnitude_warp,0.6571428571428571,0.6571428571428571,0.6952380952380952,0.638095238095238,0.638095238095238,0.6571428571428571
Ham_spawner,0.7714285714285715,0.780952380952381,0.8,0.780952380952381,0.7333333333333333,0.7733333333333333
Ham_wdba,0.6571428571428571,0.6285714285714286,0.7619047619047619,0.6476190476190476,0.6952380952380952,0.678095238095238
